Punto 1,Punto 2,Distancia (µm)
71.0,62.0,0.7026592346223026
71.0,69.0,0.4272715764007714
71.0,70.0,0.20562344224333962
71.0,72.0,0.22343902971504317
71.0,73.0,0.4377682035050054
71.0,74.0,0.6923041239224276
71.0,80.0,0.5400675883627901
71.0,91.0,0.7271767323010274
71.0,92.0,0.3384272447661388
71.0,93.0,0.24069275020241052
71.0,94.0,0.25320742485164227
71.0,95.0,0.46231266476271254
71.0,97.0,0.6688714375722736
71.0,98.0,0.4609349194843021
71.0,103.0,0.6552984053086044
71.0,104.0,0.45259253197550675
71.0,105.0,0.4537102599677463
71.0,106.0,0.5825959148500786
71.0,107.0,0.5488105319689117
71.0,113.0,0.7134045135825817
71.0,114.0,0.6350952684440342
71.0,115.0,0.7414849964766648
72.0,25.0,0.6528123773336411
72.0,26.0,0.5750000000000001
72.0,28.0,0.6333442981506978
72.0,29.0,0.4185928809714757
72.0,30.0,0.5528082850319811
72.0,31.0,0.7433471598116186
72.0,34.0,0.6421370570213185
72.0,54.0,0.7055962018038363
72.0,55.0,0.5089764238154848
72.0,56.0,0.3900012820491748
72.0,58.0,0.5377034498680477
72.0,59.0,0.35512392203285864
72.0,60.0,0.20207424378183386
72.0,69.0,0.6505905010065857
72.0,70.0,0.42905011362310574
72.0,71.0,0.22343902971504317
72.0,73.0,0.23908157603629768
72.0,74.0,0.47788073826008104
72.0,75.0,0.7247682388184514
72.0,79.0,0.5852349955359814
72.0,80.0,0.3189388656153403
72.0,90.0,0.7216785988236036
72.0,91.0,0.5218783383126763
72.0,92.0,0.1872591786802452
72.0,93.0,0.28721072403376585
72.0,94.0,0.4323944958021553
72.0,95.0,0.6724879181070841
72.0,98.0,0.6193302834514068
72.0,104.0,0.5416133307074339
72.0,105.0,0.434890790888931
72.0,106.0,0.49713680209777267
72.0,107.0,0.38330144794926085
72.0,114.0,0.656189759139839
72.0,115.0,0.5863659267044767
72.0,116.0,0.7246419805669557
72.0,132.0,0.6999714279883144
73.0,21.0,0.7152202457984534
73.0,22.0,0.627950635002466
73.0,24.0,0.6016552168808977
73.0,25.0,0.4299069666800017
73.0,26.0,0.41963436465570836
73.0,27.0,0.6163578506030405
73.0,28.0,0.5614133949239187
73.0,29.0,0.38893187064060447
73.0,30.0,0.5759800343761926
73.0,34.0,0.7403161486824396
73.0,54.0,0.46832680896997564
73.0,55.0,0.27115493725912504
73.0,56.0,0.21879899451322893
73.0,58.0,0.6971549325652082
73.0,59.0,0.476400041981526
73.0,60.0,0.25830602006147657
73.0,70.0,0.6345801761794957
73.0,71.0,0.4377682035050054
73.0,72.0,0.23908157603629768
73.0,74.0,0.2610019157017819
73.0,75.0,0.5104321698325841
73.0,78.0,0.6507295905366531
73.0,79.0,0.4225872690936158
73.0,80.0,0.2401874268149772
73.0,90.0,0.6092257381299644
73.0,91.0,0.474898936617045
73.0,92.0,0.3441191654064038
73.0,93.0,0.5206630388264563
73.0,94.0,0.6685992820815769
73.0,105.0,0.6321787721839447
73.0,106.0,0.6411591066186302
73.0,107.0,0.45228309718582227
73.0,115.0,0.63758685682815
73.0,116.0,0.6875710872338947
74.0,19.0,0.6640549676043392
74.0,20.0,0.7017193171062059
74.0,21.0,0.4898020008125733
74.0,22.0,0.47848092960953004
74.0,23.0,0.6659864863493853
74.0,24.0,0.5601580134212132
74.0,25.0,0.378187784043853
74.0,26.0,0.5141643706053542
74.0,27.0,0.6783900058226093
74.0,28.0,0.722208418671508
74.0,29.0,0.6016061834788602
74.0,53.0,0.4997859541843887
74.0,54.0,0.2589362855993729
74.0,55.0,0.19258504614844846
74.0,56.0,0.3620013812128347
74.0,59.0,0.7338453515557619
74.0,60.0,0.5157402446968823
74.0,71.0,0.6923041239224276
74.0,72.0,0.47788073826008104
74.0,73.0,0.2610019157017819
74.0,75.0,0.24996999819978385
74.0,77.0,0.630393527885558
74.0,78.0,0.40169266859130004
74.0,79.0,0.21181595785020538
74.0,80.0,0.2596998267230842
74.0,89.0,0.5790034542211299
74.0,90.0,0.43114962600006956
74.0,91.0,0.4042091043012268
74.0,92.0,0.5104507811728766
74.0,93.0,0.7323496432715729
74.0,106.0,0.7402033504382427
74.0,107.0,0.513250426205376
74.0,115.0,0.6404880951274582
74.0,116.0,0.5856039617352328
74.0,117.0,0.6731990790249196
76.0,6.0,0.676918015715345
76.0,11.0,0.7313173045949344
76.0,12.0,0.497390188885949
76.0,13.0,0.4360045871318328
76.0,14.0,0.6352952069707437
76.0,16.0,0.6026076667285275
76.0,17.0,0.4049012225222344
76.0,18.0,0.6126573267333052
76.0,19.0,0.743081422187367
76.0,20.0,0.4464134854593888
76.0,21.0,0.6245838614629743
76.0,49.0,0.5360596981680306
76.0,50.0,0.28310598722033414
76.0,51.0,0.2327681249655975
76.0,52.0,0.23495744295510193
76.0,53.0,0.4153805484131389
76.0,75.0,0.6369882259508413
76.0,77.0,0.2543324595878395
76.0,78.0,0.5057845391073158
76.0,81.0,0.31662280397975134
76.0,82.0,0.5205573935696237
76.0,83.0,0.7410836659919041
76.0,87.0,0.2148697279748826
76.0,88.0,0.295900321054236
76.0,89.0,0.4808825220363077
76.0,90.0,0.7040063920164361
76.0,117.0,0.733790160740794
76.0,118.0,0.5618051263561058
76.0,119.0,0.4229349831829946
76.0,120.0,0.47264891833156675
76.0,121.0,0.5294686015242074
76.0,122.0,0.7234092894067646
76.0,127.0,0.7457217979917176
76.0,128.0,0.6939351554720368
76.0,129.0,0.6472356603278282
77.0,12.0,0.7387408205859481
77.0,13.0,0.6292574989620704
77.0,16.0,0.6869272159406701
77.0,17.0,0.5028419234709851
77.0,18.0,0.6023188524361496
77.0,19.0,0.6406910331821415
77.0,20.0,0.39566905362941895
77.0,21.0,0.4687451333080696
77.0,22.0,0.7025240209416329
77.0,50.0,0.5373453265824502
77.0,51.0,0.4517277941415605
77.0,52.0,0.26046496885377884
77.0,53.0,0.22161678636782012
77.0,54.0,0.5564350815683713
77.0,55.0,0.742030322830543
77.0,74.0,0.630393527885558
77.0,75.0,0.39514174671881985
77.0,76.0,0.2543324595878395
77.0,78.0,0.2521923868795407
77.0,79.0,0.4982710105956395
77.0,81.0,0.5361203223158026
77.0,87.0,0.350887446341416
77.0,88.0,0.22212158832495335
77.0,89.0,0.2831766233289747
77.0,90.0,0.47184107493943334
77.0,91.0,0.6962679082077529
77.0,116.0,0.6823606084761925
77.0,117.0,0.5586242028412304
77.0,118.0,0.4432268042436062
77.0,119.0,0.41780019147913267
77.0,120.0,0.562225933233251
77.0,121.0,0.6956838362359729
77.0,129.0,0.6313168776454497
78.0,17.0,0.6998206913202839
78.0,18.0,0.7142023522784002
78.0,19.0,0.6573218389799628
78.0,20.0,0.5130389848734696
78.0,21.0,0.4494452135689066
78.0,22.0,0.6215504806530199
78.0,25.0,0.6754561421735685
78.0,51.0,0.6985506424018233
78.0,52.0,0.4681677049946952
78.0,53.0,0.2551568145278507
78.0,54.0,0.41281593961473934
78.0,55.0,0.5471105921109553
78.0,73.0,0.6507295905366531
78.0,74.0,0.40169266859130004
78.0,75.0,0.21414948050368937
78.0,76.0,0.5057845391073158
78.0,77.0,0.2521923868795407
78.0,79.0,0.24658669874914177
78.0,80.0,0.5242184659090138
78.0,87.0,0.561003565051061
78.0,88.0,0.3567534162415268
78.0,89.0,0.21518828964420908
78.0,90.0,0.2610153252205701
78.0,91.0,0.4582095590447671
78.0,107.0,0.6838603658642605
78.0,115.0,0.6949546747810248
78.0,116.0,0.49135018062477587
78.0,117.0,0.43732139211339766
78.0,118.0,0.4276926466517749
78.0,119.0,0.5252237618387041
78.0,120.0,0.7136476721744419
78.0,129.0,0.6868944605978415
78.0,130.0,0.6594619018563544
79.0,19.0,0.7399898647954578
79.0,20.0,0.6874794542384521
79.0,21.0,0.5365743191767567
79.0,22.0,0.614239367022336
79.0,24.0,0.7475433097821155
79.0,25.0,0.5730549711851385
79.0,26.0,0.7259676301323634
79.0,52.0,0.6933051276314057
79.0,53.0,0.4410215414239988
79.0,54.0,0.37483062841768944
79.0,55.0,0.3994258379223858
79.0,56.0,0.5680818602983201
79.0,60.0,0.6782757551320849
79.0,72.0,0.5852349955359814
79.0,73.0,0.4225872690936158
79.0,74.0,0.21181595785020538
79.0,75.0,0.22940139493908915
79.0,77.0,0.4982710105956395
79.0,78.0,0.24658669874914177
79.0,80.0,0.2780395655298
79.0,88.0,0.579396237474839
79.0,89.0,0.38112071578438245
79.0,90.0,0.22092532675091817
79.0,91.0,0.27080066469637776
79.0,92.0,0.5474687205676685
79.0,106.0,0.6909594778277522
79.0,107.0,0.4640043103248073
79.0,115.0,0.5256814624846496
79.0,116.0,0.40310048375064006
79.0,117.0,0.4638156961552725
79.0,118.0,0.5576593942542347
79.0,119.0,0.7180006963784923
79.0,130.0,0.6275133464716109
79.0,131.0,0.6405388356688453
80.0,21.0,0.7414377924006841
80.0,22.0,0.7344031590346
80.0,25.0,0.5956257214056492
80.0,26.0,0.6481242164894011
80.0,29.0,0.6227118113541769
80.0,53.0,0.7035524145364009
80.0,54.0,0.5184013888870282
80.0,55.0,0.40512343797909295
80.0,56.0,0.45190817651376924
80.0,59.0,0.6559519799497521
80.0,60.0,0.45400440526497104
80.0,70.0,0.7450167783345555
80.0,71.0,0.5400675883627901
80.0,72.0,0.3189388656153403
80.0,73.0,0.2401874268149772
80.0,74.0,0.2596998267230842
80.0,75.0,0.46255486161103077
80.0,78.0,0.5242184659090138
80.0,79.0,0.2780395655298
80.0,89.0,0.6271467132976142
80.0,90.0,0.40469494684268026
80.0,91.0,0.23586648765774257
80.0,92.0,0.2729761894378336
80.0,93.0,0.5107210588961456
80.0,94.0,0.7127054089874725
80.0,104.0,0.732353056933608
80.0,105.0,0.5351971599326738
80.0,106.0,0.4810623660192097
80.0,107.0,0.2571886467167632
80.0,115.0,0.41312104763616186
80.0,116.0,0.44922154890432403
80.0,117.0,0.6072108365304426
80.0,130.0,0.6824404735945839
80.0,131.0,0.5918817449457281
80.0,132.0,0.6140244294814337
81.0,6.0,0.6934118545280286
81.0,7.0,0.7448288393986903
81.0,11.0,0.5750869499475709
81.0,12.0,0.4526068934517016
81.0,13.0,0.5430745805135792
81.0,17.0,0.637640180666181
81.0,48.0,0.5443124102939413
81.0,49.0,0.33977934016064004
81.0,50.0,0.2201930970761799
81.0,51.0,0.3744769685841841
81.0,52.0,0.5400898073468893
81.0,53.0,0.7270962797319211
81.0,76.0,0.31662280397975134
81.0,77.0,0.5361203223158026
81.0,82.0,0.21850858106719745
81.0,83.0,0.45049417310327106
81.0,84.0,0.6768544895322774
81.0,87.0,0.2168340379184043
81.0,88.0,0.4432301885025432
81.0,89.0,0.6652773857572494
81.0,118.0,0.6427480066091221
81.0,119.0,0.4239716971685729
81.0,120.0,0.32266546143025615
81.0,121.0,0.2500819865564091
81.0,122.0,0.40725544809124414
81.0,123.0,0.5887070578819316
81.0,126.0,0.6238349140598016
81.0,127.0,0.4613816207869577
81.0,128.0,0.49033050078492973
81.0,129.0,0.5853170081246573
81.0,145.0,0.688839603971781
81.0,149.0,0.6696036140882158
82.0,6.0,0.6859985422725037
82.0,7.0,0.6670772069258551
82.0,8.0,0.7477813851654774
82.0,9.0,0.6067635453782634
82.0,11.0,0.452080745000271
82.0,12.0,0.4463238734372161
82.0,13.0,0.6173815675900927
82.0,47.0,0.6900268110733089
82.0,48.0,0.3588342235629149
82.0,49.0,0.23468276459936302
82.0,50.0,0.31607752213657975
82.0,51.0,0.5058191376371599
82.0,52.0,0.726006198320648
82.0,76.0,0.5205573935696237
82.0,81.0,0.21850858106719745
82.0,83.0,0.2326220109963801
82.0,84.0,0.4610271141700886
82.0,85.0,0.5993880212349926
82.0,87.0,0.43146378758825166
82.0,88.0,0.6570273966890573
82.0,119.0,0.6067833221175415
82.0,120.0,0.45224440295044016
82.0,121.0,0.267860038079591
82.0,122.0,0.24848541204666316
82.0,123.0,0.38625639153287794
82.0,124.0,0.7444568489845466
82.0,125.0,0.5992703897240376
82.0,126.0,0.4888885353534075
82.0,127.0,0.4036000495540108
82.0,128.0,0.537841984229569
82.0,129.0,0.7224970588175429
82.0,148.0,0.6972302345710488
82.0,149.0,0.6293210627334827
87.0,12.0,0.5940303022573848
87.0,13.0,0.6053668309380685
87.0,17.0,0.6160519458617107
87.0,20.0,0.6508394579310631
87.0,49.0,0.5409408470433712
87.0,50.0,0.342312722521381
87.0,51.0,0.4016217125604641
87.0,52.0,0.4434275589090061
87.0,53.0,0.5633116366630466
87.0,75.0,0.7401520114138718
87.0,76.0,0.2148697279748826
87.0,77.0,0.350887446341416
87.0,78.0,0.561003565051061
87.0,81.0,0.2168340379184043
87.0,82.0,0.43146378758825166
87.0,83.0,0.6640316257528702
87.0,88.0,0.22643321311150444
87.0,89.0,0.4484473213210221
87.0,90.0,0.688281918983784
87.0,117.0,0.6450310070066402
87.0,118.0,0.4422352315227724
87.0,119.0,0.24601829200285083
87.0,120.0,0.2577828543561421
87.0,121.0,0.3459046111285594
87.0,122.0,0.5778442696782585
87.0,127.0,0.5542743003243068
87.0,128.0,0.47983851450253534
87.0,129.0,0.45402753220482117
87.0,145.0,0.6082836509392637
87.0,149.0,0.720501214433397
88.0,13.0,0.7315579266196217
88.0,17.0,0.6666513331569961
88.0,20.0,0.6093143687785477
88.0,21.0,0.6871302642148722
88.0,50.0,0.5354717546239016
88.0,51.0,0.5285035477648187
88.0,52.0,0.43898519337216835
88.0,53.0,0.4383605821695196
88.0,54.0,0.742483669854092
88.0,75.0,0.5569174085984385
88.0,76.0,0.295900321054236
88.0,77.0,0.22212158832495335
88.0,78.0,0.3567534162415268
88.0,79.0,0.579396237474839
88.0,81.0,0.4432301885025432
88.0,82.0,0.6570273966890573
88.0,87.0,0.22643321311150444
88.0,89.0,0.22209232314512817
88.0,90.0,0.46191341179922474
88.0,91.0,0.7002463852102344
88.0,116.0,0.6184642269363685
88.0,117.0,0.4428238927609938
88.0,118.0,0.26681079438433525
88.0,119.0,0.1963084307919553
88.0,120.0,0.3612478373637687
88.0,121.0,0.531543036827687
88.0,127.0,0.7150636335320093
88.0,128.0,0.5705304549276925
88.0,129.0,0.4108345165635427
88.0,130.0,0.6654179137955335
88.0,144.0,0.6880828438494886
88.0,145.0,0.6068253455484535
89.0,20.0,0.6554853163877893
89.0,21.0,0.6479019987621586
89.0,50.0,0.7457647082022587
89.0,51.0,0.7076475111240059
89.0,52.0,0.543614753295015
89.0,53.0,0.41930060815601033
89.0,54.0,0.6273762826247101
89.0,55.0,0.7453240905807353
89.0,74.0,0.5790034542211299
89.0,75.0,0.42779668067903487
89.0,76.0,0.4808825220363077
89.0,77.0,0.2831766233289747
89.0,78.0,0.21518828964420908
89.0,79.0,0.38112071578438245
89.0,80.0,0.6271467132976142
89.0,81.0,0.6652773857572494
89.0,87.0,0.4484473213210221
89.0,88.0,0.22209232314512817
89.0,90.0,0.2398353601952807
89.0,91.0,0.47817360864020914
89.0,107.0,0.7143199563220952
89.0,115.0,0.6622537278113276
89.0,116.0,0.41272387864042936
89.0,117.0,0.27585503439306674
89.0,118.0,0.21290608258102908
89.0,119.0,0.3368827689271149
89.0,120.0,0.5372196943523198
89.0,121.0,0.7333109845079371
89.0,128.0,0.7146033865019111
89.0,129.0,0.47429315828925867
89.0,130.0,0.5115193055985277
89.0,131.0,0.6635397501280537
89.0,143.0,0.6881024633003429
89.0,144.0,0.6622907216623224
89.0,145.0,0.6754095054113467
90.0,21.0,0.6849233533761278
90.0,52.0,0.7170216175262779
90.0,53.0,0.5155851045171883
90.0,54.0,0.5742490748795334
90.0,55.0,0.6203168545187209
90.0,72.0,0.7216785988236036
90.0,73.0,0.6092257381299644
90.0,74.0,0.43114962600006956
90.0,75.0,0.39186349664136866
90.0,76.0,0.7040063920164361
90.0,77.0,0.47184107493943334
90.0,78.0,0.2610153252205701
90.0,79.0,0.22092532675091817
90.0,80.0,0.40469494684268026
90.0,87.0,0.688281918983784
90.0,88.0,0.46191341179922474
90.0,89.0,0.2398353601952807
90.0,91.0,0.23858122306669463
90.0,92.0,0.6295855779796736
90.0,106.0,0.6693078514405758
90.0,107.0,0.4751294560432977
90.0,115.0,0.444190274544592
90.0,116.0,0.23124445939308466
90.0,117.0,0.2429176815301844
90.0,118.0,0.36019994447528736
90.0,119.0,0.5537300786484332
90.0,129.0,0.6320450933279999
90.0,130.0,0.4242652472215938
90.0,131.0,0.49391699707541953
90.0,132.0,0.6733706260299748
90.0,142.0,0.6492249225037499
90.0,143.0,0.6403139854789992
90.0,144.0,0.7188838571007142
91.0,53.0,0.6941131031755559
91.0,54.0,0.6307622372970659
91.0,55.0,0.5888785952978763
91.0,56.0,0.680485121071725
91.0,60.0,0.6827569113527889
91.0,71.0,0.7271767323010274
91.0,72.0,0.5218783383126763
91.0,73.0,0.474898936617045
91.0,74.0,0.4042091043012268
91.0,75.0,0.5001199856034548
91.0,77.0,0.6962679082077529
91.0,78.0,0.4582095590447671
91.0,79.0,0.27080066469637776
91.0,80.0,0.23586648765774257
91.0,88.0,0.7002463852102344
91.0,89.0,0.47817360864020914
91.0,90.0,0.23858122306669463
91.0,92.0,0.4016777315211786
91.0,93.0,0.6288346364506334
91.0,105.0,0.5677261663865777
91.0,106.0,0.44182349416933464
91.0,107.0,0.2367129062810055
91.0,114.0,0.7452945726355455
91.0,115.0,0.25489213404889527
91.0,116.0,0.21340337391897057
91.0,117.0,0.3861942516402851
91.0,118.0,0.5668588889662045
91.0,130.0,0.4473946803438771
91.0,131.0,0.38846492763182616
91.0,132.0,0.48952323744639553
91.0,133.0,0.6908523720738028
91.0,141.0,0.662107242068836
91.0,142.0,0.5829922812525049
91.0,143.0,0.6644885251078455
92.0,26.0,0.73864538176313
92.0,29.0,0.6049148700437111
92.0,30.0,0.737821794202367
92.0,55.0,0.6027943264497434
92.0,56.0,0.5423329235810784
92.0,58.0,0.6736623783468988
92.0,59.0,0.5235198181540025
92.0,60.0,0.3892813892289227
92.0,69.0,0.7418746524851758
92.0,70.0,0.5262793934784071
92.0,71.0,0.3384272447661388
92.0,72.0,0.1872591786802452
92.0,73.0,0.3441191654064038
92.0,74.0,0.5104507811728766
92.0,75.0,0.7334609737402528
92.0,79.0,0.5474687205676685
92.0,80.0,0.2729761894378336
92.0,90.0,0.6295855779796736
92.0,91.0,0.4016777315211786
92.0,93.0,0.24006665740997873
92.0,94.0,0.45311036183252335
92.0,95.0,0.7116754878454087
92.0,98.0,0.5944981076504787
92.0,103.0,0.7243652393647835
92.0,104.0,0.46226507547077395
92.0,105.0,0.2896066297583673
92.0,106.0,0.31412895441203764
92.0,107.0,0.21119185590358344
92.0,113.0,0.678516764715508
92.0,114.0,0.5163845466316747
92.0,115.0,0.4094691685585129
92.0,116.0,0.582274849190655
92.0,131.0,0.6072758845862397
92.0,132.0,0.5129931773425452
92.0,133.0,0.5906894277029173
92.0,134.0,0.7250834434739218
92.0,141.0,0.7279127694992031
93.0,29.0,0.6439518615548836
93.0,30.0,0.7177220910631078
93.0,34.0,0.7126247259252235
93.0,56.0,0.6728127525545275
93.0,57.0,0.7395194385545252
93.0,58.0,0.5348691428751523
93.0,59.0,0.46422516088639565
93.0,60.0,0.4371590099723441
93.0,69.0,0.5450229352972222
93.0,70.0,0.35357884552105195
93.0,71.0,0.24069275020241052
93.0,72.0,0.28721072403376585
93.0,73.0,0.5206630388264563
93.0,74.0,0.7323496432715729
93.0,80.0,0.5107210588961456
93.0,91.0,0.6288346364506334
93.0,92.0,0.24006665740997873
93.0,94.0,0.22361797781037202
93.0,95.0,0.4808846015417837
93.0,97.0,0.6189426467775505
93.0,98.0,0.35611795798583357
93.0,102.0,0.7287008988604309
93.0,103.0,0.5041358943776963
93.0,104.0,0.25443466744922966
93.0,105.0,0.21540659228538014
93.0,106.0,0.3645888094826829
93.0,107.0,0.40626346131543756
93.0,113.0,0.5057993673384734
93.0,114.0,0.3992054608844923
93.0,115.0,0.567768438714235
93.0,131.0,0.7481711034248784
93.0,132.0,0.5771048431611019
93.0,133.0,0.55713732597987
93.0,134.0,0.6155858997735408
94.0,29.0,0.6652345451042062
94.0,30.0,0.6755264613618033
94.0,34.0,0.5972244134326726
94.0,35.0,0.7088420134275336
94.0,57.0,0.5492631427649227
94.0,58.0,0.39121605284037103
94.0,59.0,0.42249733726971583
94.0,60.0,0.501518693569841
94.0,61.0,0.5953990258641678
94.0,62.0,0.530396078416875
94.0,69.0,0.3376818028854975
94.0,70.0,0.20124860247961965
94.0,71.0,0.25320742485164227
94.0,72.0,0.4323944958021553
94.0,73.0,0.6685992820815769
94.0,80.0,0.7127054089874725
94.0,92.0,0.45311036183252335
94.0,93.0,0.22361797781037202
94.0,95.0,0.2588532402733255
94.0,96.0,0.6213276108463228
94.0,97.0,0.4274634487298297
94.0,98.0,0.20915305400591214
94.0,99.0,0.7139446757277483
94.0,102.0,0.591278276279452
94.0,103.0,0.410202389071541
94.0,104.0,0.2621945842308724
94.0,105.0,0.39080046059338275
94.0,106.0,0.5642871609384713
94.0,107.0,0.6298769721143964
94.0,112.0,0.6867808966475408
94.0,113.0,0.5060988045826624
94.0,114.0,0.48877397639399744
94.0,133.0,0.6926853542554513
94.0,134.0,0.6799919117166028
94.0,135.0,0.7457459352889563
95.0,33.0,0.7376293106974532
95.0,34.0,0.595385589345258
95.0,35.0,0.593850149448495
95.0,41.0,0.7256031973468694
95.0,42.0,0.5688031293866094
95.0,43.0,0.5500772672997857
95.0,57.0,0.41676012285246294
95.0,58.0,0.3925366224952776
95.0,59.0,0.5437876423752201
95.0,60.0,0.6937276122513795
95.0,61.0,0.37550632484686597
95.0,62.0,0.2739069184960466
95.0,63.0,0.5031202639528641
95.0,64.0,0.7369613287004952
95.0,67.0,0.6002132954208862
95.0,69.0,0.2061552812808831
95.0,70.0,0.28925421345245794
95.0,71.0,0.46231266476271254
95.0,72.0,0.6724879181070841
95.0,92.0,0.7116754878454087
95.0,93.0,0.4808846015417837
95.0,94.0,0.2588532402733255
95.0,96.0,0.38039584645471586
95.0,97.0,0.23630488780387063
95.0,98.0,0.23784448700779276
95.0,99.0,0.5149310633473182
95.0,101.0,0.6975363789796198
95.0,102.0,0.4727631542326452
95.0,103.0,0.40069065374675256
95.0,104.0,0.4218257934266229
95.0,105.0,0.6193948659780771
95.0,112.0,0.64930809328084
95.0,113.0,0.582437121069734
95.0,114.0,0.6487410885707794
